codigo,fecha,Tax,Tan,Hrm,Vpm,Trm
M0003,2000-01-01,16.4,7,84,10.8,8
M0003,2001-01-01,16.9,5.8,79,10.2,7.1
M0003,2002-01-01,19.1,6,78,10.9,8.1
M0004,1980-01-01,-9999,9.8,69,11.5,8.9
M0004,1981-01-01,-9999,8.9,67,11,8.3
M0004,1982-01-01,22.5,8.6,68,10.8,8
M0004,1983-01-01,-9999,-9999,73,12.7,10.5
M0004,1984-01-01,-9999,-9999,72,10.7,7.9
M0004,1985-01-01,-9999,-9999,69,11.1,8.4
M0004,1986-01-01,-9999,9.5,73,11.8,9.4
M0004,1987-01-01,-9999,-9999,77,12.5,10.3
M0004,1988-01-01,22,9.7,74,12.4,10.1
M0004,1989-01-01,19.5,-9999,79,12.1,9.8
M0004,1990-01-01,-9999,-9999,71,11.5,9
M0004,1991-01-01,22.2,8.4,75,12.1,9.7
M0004,1992-01-01,22.8,8.8,71,11.7,9.2
M0004,1993-01-01,-9999,-9999,72,11.3,8.7
M0004,1994-01-01,21.8,8.8,73,11.6,9
M0004,1995-01-01,22,8.6,70,11.2,8.6
M0004,1996-01-01,20.9,9.1,72,11.3,8.7
M0004,1997-01-01,22.2,8.8,74,11.7,9.2
M0004,1998-01-01,21.4,10.5,80,13.6,11.5
M0004,1999-01-01,21.8,9.7,74,12,9.6
M0004,2000-01-01,20.7,9,74,11.4,8.8
M0004,2001-01-01,20,8.5,73,11,8.3
M0004,2002-01-01,21.2,8.9,73,11.8,9.4
M0005,1980-01-01,32.8,22.5,71,24.4,20.7
M0005,1981-01-01,31.9,21.6,70,22.7,19.5
M0005,1982-01-01,32.6,22.3,70,23.8,20.3
M0005,1983-01-01,-9999,-9999,85,29.9,23.9
M0005,1984-01-01,32.2,20.6,72,22.9,19.7
M0005,1985-01-01,30.2,21.6,75,23.4,20
M0005,1986-01-01,-9999,-9999,82,25.9,21.6
M0005,1987-01-01,32.1,22.9,78,26.7,22.1
M0005,1988-01-01,32,22.7,79,27,22.4
M0005,1989-01-01,30.7,22.3,78,25.2,21.2
M0005,1990-01-01,-9999,-9999,75,25.4,21.3
M0005,1991-01-01,-9999,-9999,74,24.7,20.9
M0005,1992-01-01,-9999,-9999,78,26.4,22
M0005,1993-01-01,33,22.6,82,28.1,23
M0005,1994-01-01,31.4,22.5,81,26.8,22.2
M0005,1995-01-01,31.6,22.8,81,27.2,22.4
M0005,1996-01-01,31.9,-9999,75,25.1,21.2
M0005,1997-01-01,-9999,22.1,72,23.2,19.9
M0005,1998-01-01,32.5,24.1,87,30.9,24.6
M0005,1999-01-01,32.2,22.1,74,24.3,20.6
M0005,2000-01-01,32.2,21.6,72,23.2,19.8
M0005,2001-01-01,-9999,-9999,80,25.8,21.6
M0005,2002-01-01,32.1,22.4,75,25.5,21.4
M0006,1980-01-01,-9999,-9999,79,-9999,-9999
M0006,1981-01-01,-9999,-9999,80,25.3,21.3
M0006,1982-01-01,30,21.8,85,26.9,22.3
M0006,1983-01-01,32.8,22.6,88,30.6,24.4
M0006,1984-01-01,-9999,-9999,80,26.3,21.9
M0006,1985-01-01,28.7,21,85,25.5,21.4
M0006,1986-01-01,-9999,-9999,88,27.2,22.5
M0006,1987-01-01,31.1,22.3,87,28.5,23.2
M0006,1988-01-01,30.7,-9999,85,27.8,22.8
M0006,1989-01-01,-9999,21.4,86,26.6,22.1
M0006,1990-01-01,-9999,-9999,82,26.7,22.1
M0006,1991-01-01,30.5,22.2,82,26.5,22.1
M0006,1992-01-01,30.2,22.4,86,28.1,23
M0006,1993-01-01,30.1,21.5,84,26.9,22.3
