codigo,lon,lat,alt,NombreEstacion
M0003,-78.555,-0.365833333333333,3058,IZOBAMBA
M0004,-78.5947222222222,-1.02,2685,RUMIPAMBA-SALCEDO
M0005,-80.4597222222222,-1.0375,46,PORTOVIEJO-UTM
M0006,-79.4616666666667,-1.1,120,PICHILINGUE
M0007,-75.4030555555556,-0.92,185,NUEVO ROCAFUERTE
M0008,-77.9438888888889,-1.5075,960,PUYO
M0023,-78.0775,0.137777777777778,3120,OLMEDO-PICHINCHA
M0024,-78.4877777777778,-0.178333333333333,2789,QUITO INAMHI-IÑAQUITO
M0025,-79.3802777777778,-0.0247222222222222,379,LA CONCORDIA
M0001,-78.4008333333334,0.258333333333333,3140,INGUINCHO
M0002,-78.3702777777778,-0.231666666666667,2480,LA TOLA
M0041,-77.9586111111111,-1.69083333333333,880,SANGAY(P.SANTA ANA)
M0045,-78.6297222222222,-2.71611111111111,2400,PALMAS-AZUAY
M0051,-79.5472222222222,-1.79694444444444,7,BABAHOYO-UTB
M0026,-79.3488888888889,-0.492777777777778,319,PUERTO ILA
M0029,-78.4180555555556,-1.39138888888889,1695,BAÑOS
M0031,-78.9452777777778,-2.55194444444445,3083,CAÑAR
M0033,-79.2011111111111,-4.03638888888889,2160,LA ARGELIA-LOJA
M0037,-79.6002777777778,-2.11805555555556,23,MILAGRO(INGENIO VALDEZ)
M0120,-78.5813888888889,-0.623333333333333,3510,COTOPAXI-CLIRSEN
M0122,-78.995,-0.947222222222222,2504,PILALO
M0123,-79.0819444444444,-1.13508333333333,1471,EL CORAZON
M0102,-77.9448333333333,0.618944444444444,3000,EL ANGEL
M0103,-77.8194444444444,0.604166666666667,2860,SAN GABRIEL
M0104,-78.0275,0.553055555555556,2275,MIRA-FAO GRANJA LA PORTADA
M0105,-78.25,0.243333333333333,2550,OTAVALO
M0107,-78.2111111111111,0.518055555555556,2335,CAHUASQUI-FAO
M0114,-78.4138888888889,-0.233333333333333,2348,TUMBACO
M0127,-78.555,-1.1725,2793,PILLARO
M0128,-78.6127777777778,-1.35611111111111,2910,PEDRO FERMIN CEVALLOS(COLEGIO)
M0129,-79.2558333333333,-1.63027777777778,350,CALUMA
M0130,-79.0683333333333,-1.98083333333333,2330,CHILLANES
M0133,-78.6477777777778,-1.73402777777778,2850,GUASLAN
M0136,-78.9222222222222,-2.27416666666667,2177,CHUNCHI
M0137,-78.8936111111111,-2.71027777777778,2640,BIBLIAN
M0138,-78.7627777777778,-2.80247222222222,2194,PAUTE
M0139,-78.7805555555556,-2.88194444444444,2230,GUALACEO
M0141,-79.0730555555556,-2.73277777777778,3335,EL LABRADO
M0142,-79.2322222222222,-3.61222222222222,2525,SARAGURO
M0143,-79.2733333333333,-4.21611111111111,1453,MALACATOS
M0124,-79.2455555555556,-0.916388888888889,215,SAN JUAN LA MANA
M0126,-78.5,-1.30027777777778,2220,PATATE
M0169,-80.6261666666666,-1.47452777777778,263,JULCUY
M0171,-80.4011666666667,-1.59283333333333,156,CAMPOSANO #2
M0172,-79.5287777777778,-1.52125,19,PUEBLO VIEJO
M0144,-79.2177777777778,-4.26277777777778,1563,VILCABAMBA
M0145,-79.2425,-4.31311111111111,1559,QUINARA INAMHI
M0146,-79.5543333333333,-4.33338888888889,1950,CARIAMANGA
M0147,-79.1750555555556,-4.3679166666666696,1835,YANGANA
M0148,-79.9509722222222,-4.10441666666667,1904,CELICA
